"EH_ID","experiment","primary_infection","challenge_infection","mouse_strain","labels","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","OO4sq","OOC","infection_history","Eim_MC","delta","IFNy_CEWE","IFNy_MES","CXCR3","IRG6","IL.12","CASP1","CXCL9","CXCR3_bio","IDO1","IFNy","IL.10","IL.12A","IL1RN","IL.6","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PPIB","PRF1","RETNLB","SOCS1","TICAM1","TNF","IL.17A","GAPDH","IL.13","CASP1_N","CXCL9_N","CXCR3_N","IDO1_N","IFNy_N","IL.6_N","IL.10_N","IL.12A_N","IL.13_N","IL.17A_N","IL1RN_N","IRGM1_N","MPO_N","MUC2_N","MUC5AC_N","MYD88_N","NCR1_N","PRF1_N","RETNLB_N","SOCS1_N","TICAM1_N","TNF_N","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","OPG_O","IFNy_FEC","Caecum","Treg_prop","IL17A_CD4","batch","max_dpi","max_OOC","max_WL","death","hybrid_status","Parasite_primary","Parasite_challenge","pc1","pc2"
"LM0239","E57","E88","UNI","SCHUNT_SCHUNT","E57bxJMR",18.47,19.41,95.1571354971664,2.87,8,"challenge",0,0,0,0,1,0,0,"falciformis_uninfected",TRUE,-6.76,25.060196364609,NA,-18.0925,-6.93916666666667,-5.6925,23.8159818770357,20.3061694675961,22.520770869408,16.9300062736713,NA,23.8575072294536,22.4339067794941,20.5891815957729,NA,8.1622006501555,25.5412441804296,8.85969255774225,15.4605002399199,19.281728955202,23.6605967762951,15.5350585541766,NA,12.5125543029413,8.3901154289691,17.0027908424967,24.3928420769911,27.7184852892587,NA,NA,-8.28092332285915,-4.7711109134195,-6.98571231523135,-1.3949477194947,NA,NA,-8.322448675277,-6.8988482253175,NA,-12.1834267350821,-5.0541230415963,7.3728579040211,-10.006185626253,6.67536599643435,0.0745583142567021,-3.74667040102545,-8.1255382221185,NA,3.0225042512353,7.1449431252075,-1.4677322883201,-8.8577835228145,"mLN",68.01,3.63,14.11,14.35,1.73,14.31,0.925,33.075,13.9,3.785,8.985,1.69,13.755,0,5.68730891054033,"pos",96.36,0.385,NA,8,0,95.1571354971664,"challenge","F0 M. m. domesticus","E_falciformis","uninfected",-3.66619173095095,1.42480476447711
"LM0240","E57","E88","E64","SCHUNT_PWD","E57bxCIW",20.45,20.45,100,1.39,8,"challenge",0,0,0,1,1,1,2500,"falciformis_ferrisi",TRUE,-6.65,43.3808823861458,NA,-8.47,-2.455,-5.66,22.7009523014771,13.0180593774902,19.121773301477,10.7053612726095,19.0330455141537,20.6242156879116,21.8528046062565,17.3825399858799,25.263313794222,7.5653020929804,24.9143864033321,6.90494895448122,15.3598698839964,14.6123366138279,20.069570381716,8.93146449259218,21.0138444917727,3.59877768391926,8.89285280671148,14.3463193824944,18.1837642472505,24.0378078601409,NA,NA,-13.7694878088849,-4.08659488489807,-10.1903088088848,-1.77389678001732,-10.1015810215615,-16.3318493016298,-11.6927511953194,-12.9213401136643,NA,-15.1063433675487,-8.45107549328767,1.36616239961178,-15.9829219107399,2.02651553811097,-6.42840539140422,-5.68087212123577,-11.1381058891238,-12.0823799991805,5.33268680867293,0.0386116858807029,-5.41485488990222,-9.25229975465832,"mLN",37.435,9.045,20.515,9.26,9.1,64.37,0.805,49.91,31.115,13.46,38.515,9.6,30.505,1798.56115107914,5.61738807203253,"pos",90.935,0.64,NA,8,317500,100,"challenge","F1 hybrid","E_falciformis","E_ferrisi",2.08839685008758,0.199230112643902
"LM0247","E57","E88","UNI","STRA_SCHUNT","E57bxJMX",25.93,27.13,95.5768521931441,7.14,8,"challenge",0,1,0,0,1,1,2500,"falciformis_uninfected",TRUE,-4.68,15.7742979705957,NA,-11.1375,-3.9525,-6.0825,22.4951825075151,17.3920892055468,22.4503171332931,15.6752492650797,NA,NA,24.0887717770285,17.7497175871724,22.6933471755817,9.84150808970637,25.1986199512889,7.87121880992098,8.67855142766924,16.2851357574055,24.3767044883014,10.0742618014015,25.1022376611852,11.6459650951572,10.6740336447483,15.6493987100139,20.9363782085568,25.6638427414561,NA,NA,-12.4209207061136,-7.3178274041453,-12.3760553318916,-5.60098746367825,NA,-12.6190853741802,NA,-14.014509975627,NA,-15.5895809400546,-7.67545578577095,0.232753711695125,-15.1243581498874,2.20304299148052,1.39571037373226,-6.210873956004,-14.3024426868999,-15.0279758597837,-1.5717032937557,-0.599771843346799,-5.57513690861245,-10.8621164071553,"mLN",53.25,6.895,7.85,9.015,2.505,19.19,0.945,28.815,18.08,3.455,8.71,1.95,13.49,350.140056022409,5.74965573181054,"pos",93.1,0.165,NA,8,12500,95.5768521931441,"challenge","F1 M. m. domesticus","E_falciformis","uninfected",-3.10133621248707,0.105043389017342
"LM0248","E57","E88","E64","STRA_SCHUNT","E57bxAPS",20.58,23.46,87.7237851662404,2.5,8,"challenge",0,2,0,2,1,4,10000,"falciformis_ferrisi",TRUE,-6.92,31.9834136276131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mLN",43.09,6.12,21.885,25.48,7.62,60.78,1.415,45.325,16.055,7.815,60.255,8.38,29.545,4000,4.43651968737429,"pos",93.865,1.025,NA,8,1272500,87.7237851662404,"challenge","F1 M. m. domesticus","E_falciformis","E_ferrisi",1.8857334636129,3.14610009023771
"LM0249","E57","E88","E64","SCHUNT_STRA","E57bxPSV",24.4,26.1,93.4865900383142,2.71,8,"challenge",1,0,1,1,1,3,7500,"falciformis_ferrisi",TRUE,-5.96,25.5475919853859,NA,-9.7675,-4.1475,-6.6525,22.8426693013744,15.5421682373731,22.5115227444581,13.0790902828355,20.3164719069852,23.0159578702143,23.1306655340547,16.693969882567,20.956645893644,10.5480034075796,23.1242820365724,9.80814185059367,10.4495043586447,16.9818417757977,23.7629551718165,13.3543510002038,27.1767883272609,12.5342582257646,11.7182985941356,17.567153879818,20.519715885502,23.0224461404391,NA,NA,-9.48831830117065,-2.1878172371693,-9.15717174425435,0.275260717368349,-6.96212090678145,-7.6022948934402,-9.66160687001045,-9.77631453385095,NA,-9.6680951402353,-3.3396188823632,2.80634759262425,-9.76993103636865,3.54620914961013,2.9048466415591,-3.6274907755939,-10.4086041716127,-13.8224373270571,0.8200927744392,1.63605240606815,-4.21280287961415,-7.16536488529815,"mLN",47.34,6.465,16.775,13.315,4.84,54.635,0.97,35.275,19.235,4.93,44.24,4.355,23.725,2767.52767527675,1.62435853414336,"pos",93.51,0.73,NA,8,370000,91.0727969348659,"challenge","F1 M. m. domesticus","E_falciformis","E_ferrisi",-0.321043878167696,1.03611017152365
"LM0251","E57","E88","UNI","STRA_BUSNA","E57bxEOT",21.84,23.16,94.300518134715,1.32,8,"challenge",0,0,0,0,1,0,0,"falciformis_uninfected",TRUE,-4.73,1.71942881541789,NA,-8.835,-4.365,-6.47,22.0478434875176,19.2923058420439,21.2674663290489,18.5589792485105,NA,NA,25.9331265061339,19.6733620591964,21.8553782132196,9.21835737203165,28.1486174993373,8.66934695110646,10.1984803604773,16.9606829869062,23.8984108980002,13.0763762636237,24.6425244584219,11.2129558013789,10.0344781863942,16.8495652997822,22.4904328473764,25.1332925791707,NA,NA,-8.97146722389395,-6.21592957842025,-8.1910900654252,-5.48260298488685,NA,-8.7790019495959,NA,-12.8567502425102,NA,-12.0569163155471,-6.59698579557275,3.858018891592,-15.0722412357137,4.40702931251719,2.87789590314639,-3.8843067232826,-10.8220346343765,-11.5661481947982,1.8634204622447,3.0418980772294,-3.7731890361586,-9.41405658375275,"mLN",61.525,5.65,12.71,9.66,1.875,29.575,0.535,21.155,17.08,4.755,15.41,1.81,11.825,0,10.7285610680602,"pos",94.33,0.38,NA,8,0,94.300518134715,"challenge","F1 hybrid","E_falciformis","uninfected",-3.28229923019061,0.223564553733681
"LM0254","E57","E88","UNI","SCHUNT_PWD","E57bxBCD",21.04,22.32,94.2652329749104,3.97,8,"challenge",0,0,0,0,1,0,0,"falciformis_uninfected",FALSE,-8.48,23.1158022243411,NA,18.235,NA,NA,23.3806666939096,17.1206415556508,18.0074607566448,15.7312416753262,24.082058513484,18.7482598189973,18.5722581273239,15.108028650605,18.3891405454823,9.1934265754033,23.3862651891476,8.3945367220858,10.1961258714846,14.6098387874823,18.006151671936,9.60205890956414,22.7128391301112,6.93746296461353,10.0448081506957,15.0844635517316,17.0586846826115,29.0635523889964,NA,NA,-13.7786077843455,-7.51858264608666,-8.40540184708071,-6.12918276576206,-14.4799996039198,-8.78708163591821,-9.14620090943316,-8.97019921775981,NA,-19.4614934794323,-5.50596974104086,0.408632334160835,-13.7842062795835,1.20752218747833,-0.594066961920415,-5.00777987791816,-8.40409276237187,-13.1107802205471,2.6645959449506,-0.442749241131519,-5.48240464216746,-7.45662577304741,"mLN",51.475,6.69,12.11,7.535,1.455,21.435,0.55,22.92,28.36,5.64,6.335,1.65,16.1,0,6.3485357460407,"neg",93.29,0.27,NA,8,0,94.2652329749104,"challenge","F1 hybrid","E_falciformis","uninfected",-3.23090829770599,-0.798375559939077
"LM0255","E57","E88","E64","BUSNA_BUSNA","E57bxMOR",16.99,18.26,93.0449069003286,1.41,8,"challenge",5,11,13,8,1,37,92500,"falciformis_ferrisi",TRUE,-2.73,87.5850373523195,NA,-10.875,-3.245,-6.495,23.4214936581744,13.6853093549441,19.1012070501714,12.914861401945,18.9611601916032,22.4274264169995,21.2811286224991,16.4427049066139,20.9855269845939,9.32263294983311,21.8704832648747,8.71487606060525,12.2956618869737,15.8886464044992,21.3384082780078,12.0515647752713,26.2090038798318,5.97385407335939,10.5890038280453,17.6548247401122,19.3551117372228,21.397227058451,NA,NA,-11.3699288829031,-1.6337445796728,-7.04964227490015,-0.863296626673652,-6.90959541633195,-8.9339622093226,-10.3758616417282,-9.22956384722775,NA,-9.34566228317965,-4.3911401313426,2.72893182543818,-9.81891848960345,3.33668871466605,-0.244097111702402,-3.83708162922795,-9.2868435027365,-14.1574391045605,6.07771070191191,1.46256094722595,-5.6032599648409,-7.30354696195155,"mLN",36.155,8.875,24.11,8.97,11.54,90.78,4.05,67.78,24.175,20.5,29.365,3.24,27.11,65602.8368794326,7.0619457854202,"pos",91.015,1.075,NA,8,317500,93.0449069003286,"challenge","F0 M. m. musculus","E_falciformis","E_ferrisi",4.07644580289081,-0.48429002211908
"LM0256","E57","E88","UNI","STRA_STRA","E57bxJVZ",29.82,29.15,102.29845626072,2.16,8,"challenge",0,0,0,0,1,0,0,"falciformis_uninfected",FALSE,-8.9,14.6139889944201,NA,-8.5175,-2.1375,-4.0625,22.8587181662309,18.635687833726,22.4129530894457,19.0696016868016,NA,23.0301456373528,23.3470962128978,17.6316723486417,20.2538257168509,9.44718738318186,27.9215008820634,8.04077250919453,9.12195024308619,17.378285403825,29.4934042766103,13.9865853313555,25.6609814436716,14.362460599571,10.7901889980264,18.7133282892844,23.1019611320798,24.2259536296558,NA,NA,-8.8721328348753,-4.64910250237045,-8.4263677580901,-5.08301635544605,NA,-6.26724038549535,-9.0435603059972,-9.36051088154225,NA,-10.2393682983002,-3.6450870172861,4.53939794817369,-13.9349155507078,5.94581282216102,4.86463508826936,-3.39170007246945,-15.5068189452548,-11.674396112316,-0.375875268215452,3.1963963333292,-4.7267429579289,-9.1153758007242,"mLN",54.575,5.11,13.005,9.13,1.835,22.3,1.075,30.89,11.41,4.455,12.675,2.58,22.56,0,3.4229556011352,"neg",94.87,0.48,NA,8,0,100,"challenge","F0 M. m. domesticus","E_falciformis","uninfected",-2.55545781844343,1.05161473703095
"LM0257","E57","E88","E64","SCHUNT_SCHUNT","E57bxJQU",20.44,22.75,89.8461538461539,1.46,8,"challenge",4,1,1,1,1,7,17500,"falciformis_ferrisi",TRUE,-6.93,21.2530814946465,NA,-10.995,-3.45,-5.385,23.0529830401788,12.9584924369012,21.447746243586,14.5082818578366,29.9738663016184,27.8977725383129,24.6674068274524,17.3278377516383,18.4502020162747,9.59851017941836,27.0708670717137,7.80793891992904,10.4158933107229,15.8548916506297,23.1270644724719,11.512441559931,NA,5.66228234330229,10.3236378802892,15.9125732280436,19.6324322168295,24.4456365543995,NA,NA,-11.5405414802478,-1.4460508769703,-9.9353046836551,-2.9958402979057,-18.4614247416875,-6.93776045634375,-16.385330978382,-13.1549652675214,NA,-12.9331949944685,-5.8153961917074,1.91393138051259,-15.5584255117828,3.70450264000191,1.09654824920805,-4.3424500906987,-11.614622912541,NA,5.85015921662866,1.18880367964171,-4.4001316681127,-8.1199906568986,"mLN",58.92,5.075,16.575,15.28,4.445,48.205,0.795,28.355,17.805,7.63,39.93,4.845,26.83,11986.301369863,6.97024477714995,"pos",94.905,0.42,NA,8,282500,89.8461538461539,"challenge","F0 M. m. domesticus","E_falciformis","E_ferrisi",-1.14937225208904,1.83267600648196
